Taxa	MetaCyc_complete_name	Representative_taxa	NCBI_IDs	Taxa_range	NCBI_IDs	MetaCycID_2	name	pathClass	Class	Category
PWY-5973	PWY.5973..cis.vaccenate.biosynthesis	Asclepias syriaca,Dolichandra unguis-cati,Escherichia coli,	48545,73871,511145,	Bacteria,Magnoliophyta,	2,3398,	PWY-5973	cis vaccenate biosynthesis	Unsaturated-Fatty-Acids-Biosynthesis,Fatty-acid-biosynthesis,Fatty Acid and Lipid Biosynthesis,Biosynthesis	Fatty Acid and Lipid Biosynthesis	Biosynthesis
PWY-5989	PWY.5989..stearate.biosynthesis.II..bacteria.and.plants.	Brassica napus,Spinacia oleracea,Arabidopsis thaliana,	3708,3562,	Viridiplantae,Bacteria,	33090,2,	PWY-5989	stearate biosynthesis II (bacteria and plants)	Stearate-Biosynthesis,Fatty-acid-biosynthesis,Fatty Acid and Lipid Biosynthesis,Biosynthesis	Fatty Acid and Lipid Biosynthesis	Biosynthesis
PWY-5994	PWY.5994..palmitate.biosynthesis.I..animals.and.fungi.	Homo sapiens,Saccharomyces cerevisiae,	9606,4932,	Opisthokonta,	33154,	PWY-5994	palmitate biosynthesis I (animals and fungi)	Palmitate-Biosynthesis,Fatty-acid-biosynthesis,Fatty Acid and Lipid Biosynthesis,Biosynthesis	Fatty Acid and Lipid Biosynthesis	Biosynthesis
PWY-5995	PWY.5995..linoleate.biosynthesis.I..plants.	Brassica juncea,Carthamus tinctorius,Glycine max,Linum usitatissimum,Oryza sativa,Sesamum indicum,Spinacia oleracea,Thunbergia alata,Arabidopsis thaliana,	3707,4222,3847,4006,4530,4182,3562,32198,	Viridiplantae,	33090,	PWY-5995	linoleate biosynthesis	Unsaturated-Fatty-Acids-Biosynthesis,Fatty-acid-biosynthesis,Fatty Acid and Lipid Biosynthesis,Biosynthesis	Fatty Acid and Lipid Biosynthesis	Biosynthesis
PWY-6030	PWY.6030..serotonin.and.melatonin.biosynthesis	Homo sapiens,Mus musculus,Oryza sativa,Rattus norvegicus,	9606,10090,4530,10116,	Viridiplantae,Metazoa,	33090,33208,	PWY-6030	serotonin and melatonin biosynthesis	HORMONE-SYN,Biosynthesis,Pathways	HORMONE-SYN	Biosynthesis
PWY-6049	PWY.6049..superpathway.of.dimethylsulfoniopropanoate.degradation	Roseovarius nubinhibens,marine bacterium GAI-109,Ruegeria pomeroyi,Roseobacter sp. DSS-8,	89187,89186,246200,89183,	Eukaryota,Bacteria,	2759,2,	PWY-6049	dimethysulfoniopropanoate degradation	Sulfur-compounds metabolisms	Inorganic Nutrients Metabolism	Degradation
PWY-6060	PWY.6060..malonate.degradation.II..biotin.dependent.	Malonomonas rubra,	57040,	Bacteria,	2,	PWY-6060	malonate degradation II (biotin-dependent)	Malonate-Degradation,Carboxylates Degradation,Degradation	Carboxylates Degradation	Degradation
PWY-6061	PWY.6061..bile.acid.biosynthesis..neutral.pathway	Homo sapiens,Mus musculus,Oryctolagus cuniculus,Rattus norvegicus,	9606,10090,9986,10116,	Vertebrata <Metazoa>,	7742,	PWY-6061	sterol Biosynthesis	sterol biosynthesis	Fatty Acid and Lipid Biosynthesis	Biosynthesis
PWY-6071	PWY.6071..superpathway.of.phenylethylamine.degradation	Escherichia coli,	511145,	Bacteria,	2,	PWY-6071	superpathway of phenylethylamine degradation	AMINE-DEG,Degradation,Pathways	AMINE-DEG	Degradation
PWY-6074	PWY.6074..zymosterol.biosynthesis	Homo sapiens,Saccharomyces cerevisiae,	9606,4932,	Opisthokonta,	33154,	PWY-6074	sterol Biosynthesis	sterol biosynthesis	Fatty Acid and Lipid Biosynthesis	Biosynthesis
PWY-6075	PWY.6075..ergosterol.biosynthesis.I	Saccharomyces cerevisiae,	4932,	Fungi,	4751,	PWY-6075	ergosterol biosynthesis	sterol biosynthesis	Fatty Acid and Lipid Biosynthesis	Biosynthesis
PWY-6098	PWY.6098..diploterol.and.cycloartenol.biosynthesis	Adiantum capillus-veneris,	13818,	Pteridaceae,	13819,	PWY-6098	diploterol and cycloartenol biosynthesis	Triterpenoids Biosynthesis,Terpenoids Biosynthesis,Secondary Metabolites Biosynthesis,Biosynthesis	Secondary Metabolites Biosynthesis	Biosynthesis
PWY-6107	PWY.6107..chlorosalicylate.degradation	Pseudomonas moorei,Pseudomonas reinekei,	395599,395598,	Bacteria,	2,	PWY-6107	chlorosalicylate degradation	Aromatic Compounds Degradation,Degradation	Aromatic Compounds Degradation	Degradation
PWY-6109	PWY.6109..mangrove.triterpenoid.biosynthesis	Bruguiera gymnorhiza,Rhizophora mangle,Rhizophora apiculata,Rhizophora stylosa,Kandelia candel,Rhizophoraceae,	39984,40031,106626,98588,61147,40029,			PWY-6109	mangrove triterpenoid biosynthesis	Triterpenoids Biosynthesis,Terpenoids Biosynthesis,Secondary Metabolites Biosynthesis,Biosynthesis	Secondary Metabolites Biosynthesis	Biosynthesis
PWY-6113	PWY.6113..superpathway.of.mycolate.biosynthesis	Mycobacterium tuberculosis,	83332,	Mycobacteriaceae,	1762,	PWY-6113	superpathway of mycolate biosynthesis	Fatty-acid-biosynthesis,Lipid-Biosynthesis,Fatty Acid and Lipid Biosynthesis,Biosynthesis	Fatty Acid and Lipid Biosynthesis	Biosynthesis
PWY-6117	PWY.6117..spermine.and.spermidine.degradation.I	Bos taurus,Mus musculus,Homo sapiens,	9913,10090,9606,	Opisthokonta,Apicomplexa,	33154,5794,	PWY-6117	spermine and spermidine degradation I	Spermine-Spermidine-Degradation,Amines-Polyamines-Degradation,Degradation/Utilization/Assimilation	AMINE-DEG	Degradation
PWY-6121	PWY.6121..5.aminoimidazole.ribonucleotide.biosynthesis.I	Homo sapiens,Bacillus subtilis,Escherichia coli,Saccharomyces cerevisiae,Salmonella enterica,Arabidopsis thaliana,	9606,1423,511145,4932,90371,	Bacteria,Eukaryota,	2,2759,	PWY-6121	5 aminoimidazole ribonucleotide biosynthesis I	AIR-Biosynthesis,PUR-NUC-SYN,Nucleosides and Nucleotides Biosynthesis,Biosynthesis	Nucleosides and Nucleotides Biosynthesis	Biosynthesis
PWY-6122	PWY.6122..5.aminoimidazole.ribonucleotide.biosynthesis.II	Methanocaldococcus jannaschii,Escherichia coli,	2190,511145,	Archaea,Bacteria,	2157,2,	PWY-6122	5 aminoimidazole ribonucleotide biosynthesis II	AIR-Biosynthesis,PUR-NUC-SYN,Nucleosides and Nucleotides Biosynthesis,Biosynthesis	Nucleosides and Nucleotides Biosynthesis	Biosynthesis
PWY-6123	PWY.6123..inosine.5..phosphate.biosynthesis.I	Escherichia coli,Salmonella enterica,	511145,90371,	Bacteria,	2,	PWY-6123	inosine 5 phosphate biosynthesis I	IMP-Biosynthesis,Purine-Ribonuc-De-Novo-Biosynthesis,Purine Nucleotide Biosynthesis,Nucleosides and Nucleotides Biosynthesis,Biosynthesis	Nucleosides and Nucleotides Biosynthesis	Biosynthesis
PWY-6124	PWY.6124..inosine.5..phosphate.biosynthesis.II	Homo sapiens,Saccharomyces cerevisiae,	9606,4932,	Eukaryota,	2759,	PWY-6124	inosine 5 phosphate biosynthesis II	IMP-Biosynthesis,Purine-Ribonuc-De-Novo-Biosynthesis,Purine Nucleotide Biosynthesis,Nucleosides and Nucleotides Biosynthesis,Biosynthesis	Nucleosides and Nucleotides Biosynthesis	Biosynthesis
PWY-6125	PWY.6125..superpathway.of.guanosine.nucleotides.de.novo.biosynthesis.II	Escherichia coli,Salmonella enterica,	511145,90371,	Bacteria,	2,	PWY-6125	superpathway of guanosine nucleotides de novo biosynthesis II	Purine-Nucleotide-De-Novo-Biosynthesis,PUR-NUC-SYN,Nucleosides and Nucleotides Biosynthesis,Biosynthesis	Nucleosides and Nucleotides Biosynthesis	Biosynthesis
PWY-6126	PWY.6126..superpathway.of.adenosine.nucleotides.de.novo.biosynthesis.II	Escherichia coli,Salmonella enterica,	511145,90371,	Eukaryota,Archaea,Bacteria,	2759,2157,2,	PWY-6126	superpathway of adenosine nucleotides de novo biosynthesis II	Purine-Nucleotide-De-Novo-Biosynthesis,PUR-NUC-SYN,Nucleosides and Nucleotides Biosynthesis,Biosynthesis	Nucleosides and Nucleotides Biosynthesis	Biosynthesis
PWY-6138	PWY.6138..CMP.N.acetylneuraminate.biosynthesis.I..eukaryotes.	Homo sapiens,Mus musculus,Rattus norvegicus,	9606,10090,10116,	Eukaryota,	2759,	PWY-6138	CMP N acetylneuraminate biosynthesis I eukaryotes	CMP-N-Acetylneuraminate-Biosynthesis,CMP-Sugar-Biosynthesis,Sugar Nucleotides Biosynthesis,Sugars Biosynthesis,Carbohydrates Biosynthesis,Biosynthesis	Carbohydrates Biosynthesis	Biosynthesis
PWY-6141	PWY.6141..archaetidylserine.and.archaetidylethanolamine.biosynthesis	Archaeoglobus fulgidus,Methanothermobacter marburgensis,Methanothermobacter thermautotrophicus,Methanothermobacter thermautotrophicus,	2234,145263,145262,187420,	Archaea,	2157,	PWY-6141	archaetidylserine and archaetidylethanolamine biosynthesis	Phospholipid-Biosynthesis,Lipid-Biosynthesis,Fatty Acid and Lipid Biosynthesis,Biosynthesis	Fatty Acid and Lipid Biosynthesis	Biosynthesis
PWY-6143	PWY.6143..CMP.pseudaminate.biosynthesis	Helicobacter pylori,Campylobacter coli,Campylobacter jejuni,Pseudomonas aeruginosa,	85962,195,197,287,	Bacteria,	2,	PWY-6143	CMP pseudaminate biosynthesis	CMP-Sugar-Biosynthesis,Sugar Nucleotides Biosynthesis,Sugars Biosynthesis,Carbohydrates Biosynthesis,Biosynthesis	Carbohydrates Biosynthesis	Biosynthesis
PWY-6145	PWY.6145..superpathway.of.sialic.acids.and.CMP.sialic.acids.biosynthesis	Aliivibrio salmonicida,Asterias rubens,Bacteroides thetaiotaomicron,Campylobacter jejuni,Escherichia coli,Homo sapiens,Mus musculus,Neisseria meningitidis,Oncorhynchus mykiss,Rattus norvegicus,Sus scrofa,	316275,7604,818,197,1392869,9606,10090,487,8022,10116,9823,	Eukaryota,Bacteria,	2759,2,	PWY-6145	superpathway of CMP-sialic acids biosynthesis	CMP-Sugar-Biosynthesis,Sugar Nucleotides Biosynthesis,Sugars Biosynthesis,Carbohydrates Biosynthesis,Biosynthesis	Carbohydrates Biosynthesis	Biosynthesis
PWY-6147	PWY.6147..6.hydroxymethyl.dihydropterin.diphosphate.biosynthesis.I	Oryza sativa,Escherichia coli,Lactococcus lactis,Pisum sativum,Saccharomyces cerevisiae,Solanum lycopersicum,Spinacia oleracea,Arabidopsis thaliana,	4530,511145,1358,3888,4932,4081,3562,	Fungi,Viridiplantae,Bacteria,	4751,33090,2,	PWY-6147	6 hydroxymethyl dihydropterin diphosphate biosynthesis I	6-HM-Dihydropterin-PP-Biosynthesis,Folate-Biosynthesis,Vitamin-Biosynthesis,Cofactors, Prosthetic Groups, Electron Carriers Biosynthesis,Biosynthesis	Vitamin-Biosynthesis	Biosynthesis
PWY-6148	PWY.6148..tetrahydromethanopterin.biosynthesis	Methanocaldococcus jannaschii,Methanosarcina mazei,Methanosarcina thermophila,Methanothermobacter thermautotrophicus,Methanothermobacter thermautotrophicus,Methanothermobacter thermautotrophicus,Methylobacterium extorquens,Methanobacterium thermoautotrophicum,	2190,2209,2210,145262,187420,79930,408,	Methylobacterium extorquens group,Methanomicrobia,Methanobacteria,Methanococci,	578822,224756,183925,183939,	PWY-6148	tetrahydromethanopterin biosynthesis	Cofactor-Biosynthesis,Biosynthesis,Pathways	Cofactor-Biosynthesis	Biosynthesis
PWY-6151	PWY.6151..S.adenosyl.L.methionine.cycle.I	Aliivibrio fischeri,Salmonella enterica,Escherichia coli,Bacillus subtilis,	668,90371,562,1423,	Archaea,Bacteria,	2157,2,	PWY-6151	S adenosyl L methionine cycle I	S-adenosyl-L-methionine-cycle,L-Methionine-Salvage,L-methionine Biosynthesis,Proteinogenic Amino Acids Biosynthesis,Amino Acids Biosynthesis,Biosynthesis	Amino Acids Biosynthesis	Biosynthesis
PWY-6163	PWY.6163..chorismate.biosynthesis.from.3.dehydroquinate	Methanocaldococcus jannaschii,Bacillus subtilis,Escherichia coli,Haemophilus influenzae,Petunia x hybrida,Saccharomyces cerevisiae,Salmonella enterica,Sulfolobus solfataricus,	2190,1423,511145,71421,4102,4932,90371,2287,	Archaea,Chlorophyta,Rhodophyta,Nephridiophagidae,Basidiomycota,Bacillariophyta,Oomycetes,Ascomycota,Apicomplexa,Viridiplantae,Bacteria,	2157,3041,2763,287987,5204,2836,4762,4890,5794,33090,2,	PWY-6163	chorismate biosynthesis from 3 dehydroquinate	Chorismate-Biosynthesis,Aromatic Compounds Biosynthesis,Biosynthesis	Aromatic Compounds Biosynthesis	Biosynthesis
PWY-6165	PWY.6165..chorismate.biosynthesis.II..archaea.	Methanocaldococcus jannaschii,Methanococcus maripaludis,	2190,39152,	Archaea,	2157,	PWY-6165	chorismate biosynthesis II (archaea)	Chorismate-Biosynthesis,Aromatic Compounds Biosynthesis,Biosynthesis	Aromatic Compounds Biosynthesis	Biosynthesis
PWY-6167	PWY.6167..flavin.biosynthesis.II..archaea.	Methanocaldococcus jannaschii,	2190,	Archaea,	2157,	PWY-6167	flavin biosynthesis II (archaea)	Flavin-Biosynthesis,Vitamin-Biosynthesis,Cofactors, Prosthetic Groups, Electron Carriers Biosynthesis,Biosynthesis	Vitamin-Biosynthesis	Biosynthesis
PWY-6168	PWY.6168..flavin.biosynthesis.III..fungi.	Meyerozyma guilliermondii,Saccharomyces cerevisiae,	4929,4932,	Fungi,	4751,	PWY-6168	flavin biosynthesis III (fungi)	Flavin-Biosynthesis,Vitamin-Biosynthesis,Cofactors, Prosthetic Groups, Electron Carriers Biosynthesis,Biosynthesis	Vitamin-Biosynthesis	Biosynthesis
PWY-6174	PWY.6174..mevalonate.pathway.II..archaea.	Halobacterium sp. JP-6,Haloferax volcanii,Methanocaldococcus jannaschii,Methanosarcina mazei,Methanothermobacter thermautotrophicus,Sulfolobus shibatae,Sulfolobus solfataricus,	157834,2246,2190,192952,145262,2286,2287,	Archaea,	2157,	PWY-6174	mevalonate pathway II (archaea)	Cofactor-Biosynthesis,Biosynthesis,Pathways	Cofactor-Biosynthesis	Biosynthesis
PWY-6182	PWY.6182..superpathway.of.salicylate.degradation	Pseudomonas reinekei,	395598,	Bacteria,	2,	PWY-6182	superpathway of salicylate degradation	Aromatic Compounds Degradation	Aromatic Compounds Degradation	Degradation
PWY-6185	PWY.6185..4.methylcatechol.degradation..ortho.cleavage.	Trichosporon cutaneum,Ralstonia eutropha,Pseudomonas reinekei,	5554,264198,395598,	Fungi,Bacteria,	4751,2,	PWY-6185	4 methylcatechol degradation ortho cleavage	Aromatic Compounds Degradation,Degradation,Pathways	Aromatic Compounds Degradation	Degradation
PWY-621	PWY.621..sucrose.degradation.III..sucrose.invertase.	Saccharomyces cerevisiae,Methylomicrobium alcaliphilum,Nicotiana tabacum,Oryza sativa,Spinacia oleracea,Arabidopsis thaliana,	4932,1091494,4097,4530,3562,	Archaea,Bacteria,Eukaryota,	2157,2,2759,	PWY-621	sucrose degradation III (sucrose invertase)	SUCROSE-DEG,Sugars-And-Polysaccharides-Degradation,Carbohydrates Degradation,Degradation/Utilization/Assimilation	Carbohydrates Degradation	Degradation
PWY-6210	PWY.6210..2.aminophenol.degradation	Pseudomonas sp. AP3,Pseudomonas pseudoalcaligenes,Pseudomonas putida,	874293,	Bacteria,	2,	PWY-6210	2 aminophenol degradation	Aromatic Compounds Degradation,Degradation,Pathways	Aromatic Compounds Degradation	Degradation
PWY-6215	PWY.6215..4.chlorobenzoate.degradation	Arthrobacter sp. SU,Arthrobacter sp. TM1,Pseudomonas sp. CBS3,Arthrobacter sp.,Arthrobacter globiformis KZT1,	71255,75752,72586,	Bacteria,	2,	PWY-6215	4 chlorobenzoate degradation	Chlorobenzoate-Degradation,ChloroAromatic Compounds Degradation,Aromatic Compounds Degradation,CHLORINATED-COMPOUNDS-DEG,Degradation/Utilization/Assimilation	Aromatic Compounds Degradation	Degradation
PWY-622	PWY.622..starch.biosynthesis	Chlamydomonas reinhardtii,Hordeum vulgare,Manihot esculenta,Nicotiana tabacum,Oryza sativa,Pisum sativum,Solanum tuberosum,Triticum aestivum,Zea mays,Arabidopsis thaliana,	3055,4513,3983,4097,4530,3888,4113,4565,4577,	Rhodophyta,Cyanobacteria,Viridiplantae,	2763,1117,33090,	PWY-622	starch biosynthesis	GLYCOGEN-BIOSYN,Polysaccharides-Biosynthesis,Carbohydrates Biosynthesis,Biosynthesis	Carbohydrates Biosynthesis	Biosynthesis
PWY-6244	PWY.6244..bergamotene.biosynthesis.II	Betula pubescens,Betula,Solanum habrochaites,	38787,3504,62890,	Viridiplantae,	33090,	PWY-6244	Bergamontene Biosynthesis	Sesquiteterpene-Lactone-Biosynthesis,Sesquiterpenoids-Biosynthesis,Terpenoids-Biosynthesis,Secondary-Metabolites-BiosynthesisBiosynthesis	Secondary Metabolites Biosynthesis	Biosynthesis
PWY-6263	PWY.6263..superpathway.of.menaquinol.8.biosynthesis.II	Streptomyces coelicolor,Streptomyces coelicolor,Thermus thermophilus,Thermus thermophilus,	1902,100226,274,300852,	Halobacteria,Bacteria,	183963,2,	PWY-6263	superpathway of menaquinol 8 biosynthesis II	Menaquinone-Biosynthesis,Quinone-Biosynthesis,Cofactors, Prosthetic Groups, Electron Carriers Biosynthesis,Biosynthesis	Quinone-Biosynthesis	Biosynthesis
PWY-6266	PWY.6266..superpathway.of.flavones.and.derivatives.biosynthesis	Solanum lycopersicum,Catharanthus roseus,Chrysosplenium americanum,Eustoma exaltatum,Flaveria bidentis,Flaveria chlorifolia,Medicago sativa,Petunia x hybrida,Pisum sativum,Pueraria montana,Sesbania rostrata,Vigna radiata,Arabidopsis thaliana,	4081,4058,36749,52518,4224,4228,3879,4102,3888,3893,3895,3916,	Viridiplantae,	33090,	PWY-6266	superpathway	Flavones and derivative	Flavones and derivative	Biosynthesis
PWY-6269	PWY.6269..adenosylcobalamin.salvage.from.cobinamide.II	Halobacterium salinarum,Methanopyrus kandleri,Methanosarcina mazei,Methanothermobacter thermautotrophicus,Rhodobacter sphaeroides,	64091,190192,192952,187420,272943,	Archaea,Bacteria,	2157,2,	PWY-6269	adenosylcobalamin salvage from cobinamide II	B12-Salvage-From-Cobinamide,Adenosylcobalamin-Biosynthesis,Cobalamin-Biosynthesis,Vitamin-Biosynthesis,Cofactors, Prosthetic Groups, Electron Carriers Biosynthesis,Biosynthesis	Vitamin-Biosynthesis	Biosynthesis
PWY-6270	PWY.6270..isoprene.biosynthesis.I	Phragmites australis,Populus,Populus alba,Pueraria montana,Quercus robur,	29695,3689,43335,3893,38942,	Embryophyta,	3193,	PWY-6270	isoprene biosynthesis I	ISOPRENOIDS,Terpenoid-Biosynthesis,Secondary Metabolites Biosynthesis,Biosynthesis	Secondary Metabolites Biosynthesis	Biosynthesis
PWY-6277	PWY.6277..superpathway.of.5.aminoimidazole.ribonucleotide.biosynthesis	Escherichia coli,	511145,	Bacteria,	2,	PWY-6277	superpathway of 5 aminoimidazole ribonucleotide biosynthesis	AIR-Biosynthesis,PUR-NUC-SYN,Nucleosides and Nucleotides Biosynthesis,Biosynthesis	Nucleosides and Nucleotides Biosynthesis	Biosynthesis
PWY-6281	PWY.6281..L.selenocysteine.biosynthesis.II..archaea.and.eukaryotes.	Methanococcus vannielii,Bos taurus,Gallus gallus,Methanococcus maripaludis,Methanocaldococcus jannaschii,Mus musculus,Homo sapiens,	2187,9913,9031,39152,2190,10090,9606,	Eukaryota,Archaea,	2759,2157,	PWY-6281	L selenocysteine biosynthesis II archaea and eukaryotes	Proteinogenic Amino Acids Biosynthesis	Amino Acids Biosynthesis	Biosynthesis
PWY-6282	PWY.6282..palmitoleate.biosynthesis.I..from..5Z..dodec.5.enoate.	Escherichia coli,	511145,	Bacteria,	2,	PWY-6282	palmitoleate biosynthesis I (from (5Z)-dodec-5-enoate)	Palmitoleate-Biosynthesis,Unsaturated-Fatty-Acids-Biosynthesis,Fatty-acid-biosynthesis,Fatty Acid and Lipid Biosynthesis,Biosynthesis	Fatty Acid and Lipid Biosynthesis	Biosynthesis
PWY-6284	PWY.6284..superpathway.of.unsaturated.fatty.acids.biosynthesis..E..coli.	Escherichia coli,	511145,	Bacteria,	2,	PWY-6284	superpathway of unsaturated fatty acids biosynthesis (E. coli)	Unsaturated-Fatty-Acids-Biosynthesis,Fatty-acid-biosynthesis,Fatty Acid and Lipid Biosynthesis,Biosynthesis	Fatty Acid and Lipid Biosynthesis	Biosynthesis
PWY-6285	PWY.6285..superpathway.of.fatty.acids.biosynthesis..E..coli.	Escherichia coli,	511145,	Bacteria,	2,	PWY-6285	superpathway of fatty acids biosynthesis (E. coli)	Fatty-acid-biosynthesis,Lipid-Biosynthesis,Fatty Acid and Lipid Biosynthesis,Biosynthesis	Fatty Acid and Lipid Biosynthesis	Biosynthesis
PWY-6305	PWY.6305..putrescine.biosynthesis.IV	Datura stramonium,Capsicum annuum,Nicotiana tabacum,Malus domestica,Avena sativa,Solanum lycopersicum,Brassica juncea,Dianthus caryophyllus,Oryza sativa,Pisum sativum,Glycine max,Theobroma cacao,Arabidopsis thaliana,	4076,4072,4097,3750,4498,4081,3707,3570,4530,3888,3847,3641,	Viridiplantae,	33090,	PWY-6305	putrescine biosynthesis IV	Putrescine-Biosynthesis,Polyamine-Biosynthesis,Biosynthesis	Polyamine-Biosynthesis	Biosynthesis
PWY-6307	PWY.6307..L.tryptophan.degradation.X..mammalian..via.tryptamine.	Sus scrofa,Mus musculus,Rattus norvegicus,Homo sapiens,	9823,10090,10116,9606,	Mammalia,	40674,	PWY-6307	L tryptophan degradation X mammalian via tryptamine	TRYPTOPHAN-DEG,Proteinogenic-Amino-Acids-Degradation,Amino Acids Degradation,Degradation/Utilization/Assimilation	Amino Acids Degradation	Degradation
PWY-6309	PWY.6309..L.tryptophan.degradation.XI..mammalian..via.kynurenine.	Felis catus,Homo sapiens,Mus musculus,Rattus norvegicus,	9685,9606,10090,10116,	Mammalia,	40674,	PWY-6309	L tryptophan degradation XI mammalian via kynurenine	TRYPTOPHAN-DEG,Proteinogenic-Amino-Acids-Degradation,Amino Acids Degradation,Degradation/Utilization/Assimilation	Amino Acids Degradation	Degradation
PWY-6313	PWY.6313..serotonin.degradation	Mus musculus,Rattus norvegicus,Homo sapiens,	10090,10116,9606,	Metazoa,	33208,	PWY-6313	serotonin degradation	HORMONE-DEG,Degradation,Pathways	HORMONE-DEG	Degradation
PWY-6317	PWY.6317..galactose.degradation.I..Leloir.pathway.	Escherichia coli,Glycine max,Mycoplasma pneumoniae,Streptococcus thermophilus,Vicia faba,Arabidopsis thaliana,	511145,3847,272634,1308,3906,	Fungi,Embryophyta,Bacteria,	4751,3193,2,	PWY-6317	D-galactose degradation I (Leloir pathway)	GALACTOSE-DEGRADATION,Sugars-And-Polysaccharides-Degradation,Carbohydrates Degradation,Degradation/Utilization/Assimilation	Carbohydrates Degradation	Degradation
PWY-6318	PWY.6318..L.phenylalanine.degradation.IV..mammalian..via.side.chain.	Cavia porcellus,Macaca mulatta,Macaca fuscata,Bos taurus,Rattus norvegicus,Homo sapiens,	10141,9544,9542,9913,10116,9606,	Metazoa,	33208,	PWY-6318	L phenylalanine degradation IV mammalian via side chain	PHENYLALANINE-DEG,Proteinogenic-Amino-Acids-Degradation,Amino Acids Degradation,Degradation/Utilization/Assimilation	Amino Acids Degradation	Degradation
PWY-6322	PWY.6322..phosphinothricin.tripeptide.biosynthesis	Streptomyces hygroscopicus,Streptomyces viridochromogenes,Streptomyces viridochromogenes,Streptomyces hygroscopicus,	1912,1938,591159,	Actinobacteria <phylum>,	201174,	PWY-6322	phosphinothricin tripeptide biosynthesis	Antibiotic-Biosynthesis,Secondary Metabolites Biosynthesis,Biosynthesis	Secondary Metabolites Biosynthesis	Biosynthesis
PWY-6338	PWY.6338..superpathway.of.vanillin.and.vanillate.degradation	Sphingomonas sp. SYK6,	502559,	Bacteria,	2,	PWY-6338	Vanillin Degradation	Vanillin Degradation	Aromatic Compounds Degradation	Degradation
PWY-6339	PWY.6339..syringate.degradation	Pseudomonas putida,Sphingomonas sp. SYK6,	160488,502559,	Bacteria,	2,	PWY-6339	Syringate degradation	Syringate degradation	Aromatic Compounds Degradation	Degradation
PWY-6342	PWY.6342..noradrenaline.and.adrenaline.degradation	Rattus norvegicus,Homo sapiens,	10116,9606,	Vertebrata <Metazoa>,	7742,	PWY-6342	noradrenaline and adrenaline degradation	HORMONE-DEG,Degradation,Pathways	HORMONE-DEG	Degradation
PWY-6344	PWY.6344..L.ornithine.degradation.II..Stickland.reaction.	Alkaliphilus metalliredigens,Alkaliphilus oremlandii,Caldanaerobacter subterraneus,Clostridium sporogenes,Fervidobacterium nodosum,Natranaerobius thermophilus,Peptoclostridium difficile,Petrotoga mobilis,Propionibacterium acnes,Thermoanaerobacter pseudethanolicus,Thermosipho melanesiensis,[Clostridium] sticklandii,	208226,461876,119072,1509,2424,375929,1496,69499,1747,496866,46541,1511,	Thermotogae <phylum>,Actinobacteria <phylum>,Firmicutes,	200918,201174,1239,	PWY-6344	L ornithine degradation II Stickland reaction	MISCELLANEOUS-DEG,Amino Acids Degradation,Degradation/Utilization/Assimilation	Amino Acids Degradation	Degradation
PWY-6349	PWY.6349..CDP.archaeol.biosynthesis	Methanosarcina acetivorans,Archaeoglobus fulgidus,Methanothermobacter marburgensis,Methanothermobacter thermautotrophicus,Methanothermobacter thermautotrophicus,	2214,2234,145263,145262,187420,	Archaea,	2157,	PWY-6349	CDP archaeol biosynthesis	Phospholipid-Biosynthesis,Lipid-Biosynthesis,Fatty Acid and Lipid Biosynthesis,Biosynthesis	Fatty Acid and Lipid Biosynthesis	Biosynthesis
PWY-6350	PWY.6350..archaetidylinositol.biosynthesis	Aeropyrum pernix,Archaeoglobus fulgidus,Methanothermobacter marburgensis,Methanothermobacter thermautotrophicus,Methanothermobacter thermautotrophicus,Pyrococcus furiosus,Sulfolobus solfataricus,	56636,2234,145263,145262,187420,2261,2287,	Archaea,	2157,	PWY-6350	archaetidylinositol biosynthesis	Phospholipid-Biosynthesis,Lipid-Biosynthesis,Fatty Acid and Lipid Biosynthesis,Biosynthesis	Fatty Acid and Lipid Biosynthesis	Biosynthesis
PWY-6351	PWY.6351..D.myo.inositol..1.4.5..trisphosphate.biosynthesis	Saccharomyces cerevisiae,Rattus norvegicus,Homo sapiens,Arabidopsis thaliana,	4932,10116,9606,	Eukaryota,	2759,	PWY-6351	D myo inositol 145 trisphosphate biosynthesis	Cyclitols-Biosynthesis,Sugar-Derivatives-Biosynthesis,Secondary-Metabolites-Biosynthesis,Biosynthesis	Secondary Metabolites Biosynthesis	Biosynthesis
PWY-6352	PWY.6352..3.phosphoinositide.biosynthesis	Saccharomyces cerevisiae,Rattus norvegicus,Homo sapiens,	4932,10116,9606,	Eukaryota,	2759,	PWY-6352	3 phosphoinositide biosynthesis	Phospholipid-Biosynthesis,Lipid-Biosynthesis,Fatty Acid and Lipid Biosynthesis,Biosynthesis	Fatty Acid and Lipid Biosynthesis	Biosynthesis
PWY-6353	PWY.6353..purine.nucleotides.degradation.II..aerobic.	Bos taurus,Escherichia coli,Gallus gallus,Homo sapiens,Mus musculus,Oryctolagus cuniculus,Rattus norvegicus,	9913,511145,9031,9606,10090,9986,10116,	Opisthokonta,Archaea,Bacteria,	33154,2157,2,	PWY-6353	purine nucleotides degradation II (aerobic)	Purine-Degradation,Nucleosides and Nucleotides Degradation,Degradation/Utilization/Assimilation	Nucleosides and Nucleotides Degradation	Degradation
